Designator,Footprint,Quantity,Value,LCSC Part #
AN1,MOLEX_1462350001_CHIP,1,1.575GHz ANT,C586446
"C1, C2, C3, C4, C5, C6, C7",CAPC100X50X60L25N,7,1u,C5119299
"C10, C11, C12, C13",CAPC100X50X60L25N,4,1u,C3858658
"C15, C17, C19, C21, C23, C25, C29",CAPC60X30X39L17L,7,100n,C668346
C16_2,CAPC60X30X39L17N,1,1uF, C76930
"C16, C18, C20, C22, C24",CAPC60X30X33L15L,5,100p,  C76930
C26,CAPC60X30X33L15L,1,27p, C161381
"C27, C30",CAPC60X30X33L15L,2,470p,C161493
C28,CAPC60X30X33L15L,1,6.8n,C385027
"C31, C32",CAPC40X20X22L10L,2,10n,C5646770
"C33, C34, C35, C36",CAPC60X30X39L17L,4,1uF,C76930
"C8, C9",CAPC200X125X145L45N,2,4.7u,C3862703
"D1, D2, D3",SOD370X155X135L32X57L,3,MBR0540T1G,C177047
J1,TXGA_FBB04004-F40S1003K6M,1,WisBlock,C691131 
J2,MOLEX_52435-2471,1,0524352471,C262643
J4,AMPHENOL_10114830-10102LF,1,10114830-10102LF,C2845388
J5,GCT_USB3075-30-A,1,USB micro,C5366021
L2,INDC400X400X120L120N,1,10u,C135263
Q1,SOT23-3P65_210X110L20X32L,1,SI1308EDL-T1-GE3,C469327
"R1, R2, R3, R5, R8",RESC40X20X15L10N,5,10k,C4321057
R4,RESC40X20X15L10N,1,100k,C4249474
R6,RESC60X30X26L15L,1,20k, C76930
R7,RESC40X20X15L10L,1,10k,C1512948
"S1, S2",Panasonic_EVQPUA02K,2,tactile_sw,C128539
U1,SOT23-5P95_270X145L35X35L,1,MCP73811T-420I/OT,C145381
U2,QFN29P50_500X500X80L55X25T325L,1,MAX2769B,C118482
"U3, U4",SOT23-5P65_210X110L42X22L,2,MAX8510EXK29+T,C3743606
U5,SOT23-5P65_210X110L33X22N,1,MIC5365-3.0YC5-TR,C220617
Y1,OSCDFN4_250X320X100L70X80L,1,TXETCDSANF-16.368000, C213402
